state,Hits,Passed Titles,Passed Abstracts,Included Papers
Alabama,53,9,0,0
Alaska,194,32,5,1
Arizona,168,19,4,0
Arkansas,36,1,0,0
California,1085,56,40,3
Colorado,263,14,2,0
Connecticut,32,1,0,0
Delaware,43,3,0,0
Florida,404,24,6,1
Georgia,139,11,2,0
Hawai'i,51,1,0,0
Hawaii,96,5,1,0
Idaho,79,3,1,0
Illinois,109,9,1,1
Indiana,58,5,0,0
Iowa,92,7,2,0
Kansas,53,6,1,0
Kentucky,41,0,0,0
Louisiana,67,1,0,0
Maine,96,5,2,1
Maryland,90,5,2,0
Massachusetts,115,12,1,1
Michigan,168,7,1,0
Minnesota,110,4,1,0
Mississippi,167,11,1,0
Missouri,57,2,1,0
Montana,102,2,0,0
Nebraska,52,3,1,0
Nevada,126,1,1,0
New Hampshire,34,3,0,0
New Jersey,75,5,2,1
New Mexico,254,14,2,0
New York,196,10,0,0
North Carolina,64,4,0,0
North Dakota,48,4,0,0
Ohio,126,2,1,1
Oklahoma,41,3,0,0
Oregon,316,32,5,1
Pennsylvania,82,3,1,0
Rhode Island,34,0,0,0
South Carolina,83,12,4,0
South Dakota,43,4,0,0
Tennessee,58,3,0,0
Texas,251,14,1,0
Utah,80,2,0,0
Vermont,38,3,1,0
Virginia,140,5,2,1
Washington,308,16,2,0
West Virginia,22,0,0,0
Wisconsin,156,11,1,0
Wyoming,85,9,1,0
